id,codigo,descripcion,latitud,longitud
10155,PRS,ROQUE SAENZ PEÑA,-26.811344,-60.421888
10158,CAU,CORDOBA (AU.9 CORDOBA-ROSARIO),-31.419714,-64.103349
10159,CSR,CASEROS,-34.605520,-58.570040
10160,CAO,CALETA OLIVIA,-46.446660,-67.522220
10171,PPB,PROVEEDOR PLASTICOS BANCOS,-37.322771,-59.135301
10177,LPC,LA PLATA (CALLE 2),-34.904000,-57.953100
10178,PERSONAL,PORTABILIDAD PERSONAL,-31.363840,-64.236620
10179,RAC,ROSARIO (AV. EVA PERON),-32.934060,-60.707595
10180,SAT,SALTA (AV. TAVELLA),-24.825010,-65.422140
10181,CDU,CONCEPCION DEL URUGUAY,-32.487530,-58.231558
10187,LPZ,LA PAZ,-30.740605,-59.646533
10189,REZ,REZAGO,-34.607651,-58.367373
10190,ZAP,ZAPALA,-38.906374,-70.067798
10192,PLZ,PLAZA 70,-37.322771,-59.135301
10193,AVA,AVELLANEDA,-34.665680,-58.389579
10195,PTM,PUERTO MADRYN,-42.770539,-65.041174
10198,TOM,SANTO TOME,-37.322771,-59.135301
10199,SVS,VILLA SOLDATI (CTC),-34.667647,-58.437636
10200,SVD,SUCURSAL VALIDACIONES,-37.322771,-59.135301
10201,BBR,BAHIA BLANCA(RN 3 Y SESQUICENT.),-38.707809,-62.339532
10204,IHN,IN HOUSE NORLOG CLARO,-34.432013,-58.687812
10205,ETO,ESTACION ONCE,-34.608823,-58.406577
10206,EDO,ELDORADO,-26.414659,-54.606422
10218,PNQ,PLANTA NEUQUEN,-38.909647,-68.146494
10221,PPD,PROCESAMIENTO PSD,-34.654060,-58.392420
10222,INH,IN HOUSE NEWSAN,-34.734584,-58.357348
10223,FLR,PLANTA FLORIDA,-37.322771,-59.135301
10224,ARV,ARCHIVO BTB,-37.322771,-59.135301
10225,CCC,CORDOBA (AV COLON),-31.398151,-64.234204
10227,OBR,OBERA,-37.322771,-59.135301
10228,GYA,GOYA,-37.322771,-59.135301
10229,PRC,ROSARIO( CIRCUNVALACION),-33.014798,-60.669375
10230,CTG,CATAMARCA ( AV. GÜEMES),-28.477253,-65.806590
10231,PCT,CABA- CIT ( NORLOG),-37.322771,-59.135301
10232,NCA,NECOCHEA,-38.553461,-58.728886
10241,RFF,RAFAELA H YRIGOYEN,-31.254850,-61.492470
10243,BRA,BERAZATEGUI,-34.753542,-58.213012
10244,PVC,PROVEEDOR CORDOBA,-31.408360,-64.236907
10245,COR,CORDOBA,-31.419714,-64.103349
10305,-1,NUMERACION,-34.654040,-58.392390
10306,RPD,RENDICIONES PRE DECOMISO,-34.665680,-58.389729
10999,GEN,SUCURSAL GENERICA,-37.322771,-59.135301
19999,ISU,SUCURSAL INTERNACIONAL,-37.322771,-59.135301
