;id;codigo;descripcion;latitud;longitud;dupl
94;10124;OLA;OLAVARRIA;-36,89552;-60,32496999999999;False
95;10125;BZC;BURZACO;-34,8208;-58,3954;False
96;10126;ESC;ESCOBAR;-34,3443;-58,794340000000005;False
97;10127;LFR;LAFERRERE;-34,7479;-58,58543;False
98;10129;TRI;TRIBUNALES;-34,603120000000004;-58,38524;False
99;10130;PBCO;PLASTICOS BANCOS;-37,322771;-59,135301;True
100;10131;TRIPDV;PORTABILIDAD MOVISTAR;-31,363840000000003;-64,23662;False
101;10132;TRAPSD;TRAFICO PSD;-31,363840000000003;-64,23662;True
102;10134;BEL;BELGRANO;-34,56766;-58,4498;False
103;10135;CLARO;PORTABILIDAD CLARO;-31,363840000000003;-64,23662;True
104;10137;MICRO;TUCUMAN 860;-34,601242;-58,379141000000004;False
105;10139;TEL;BNZ  NAVE 3 ;-58,714135999999996;-58,714135999999996;False
106;10143;GPAZ;CORDOBA (AV. GENERAL PAZ);-31,410429999999998;-64,18459;False
107;10144;MIC;MICROCENTRO;-34,60289;-58,37324;False
108;10147;TRESA;TRES ARROYOS;-38,377808;-60,272901;False
109;10151;NQN;NEUQUEN;-38,95452;-68,05606999999999;False
110;10153;PSA;POSADAS;-27,365479999999998;-55,89442;False
111;10155;PRS;ROQUE SAENZ PEÑA;-26,811344000000002;-60,421888;False
112;10158;CAU;CORDOBA (AU.9 CORDOBA-ROSARIO);-31,419714000000003;-64,103349;False
113;10159;CSR;CASEROS;-34,60552;-58,570040000000006;False
114;10160;CAO;CALETA OLIVIA;-46,446659999999994;-67,52221999999999;False
115;10171;PPB;PROVEEDOR PLASTICOS BANCOS;-37,322771;-59,135301;True
116;10177;LPC;LA PLATA (CALLE 2);-34,904;-57,9531;False
117;10178;PERSONAL;PORTABILIDAD PERSONAL;-31,363840000000003;-64,23662;True
118;10179;RAC;ROSARIO (AV. EVA PERON);-32,934059999999995;-60,707595;False
119;10180;SAT;SALTA (AV. TAVELLA);-24,82501;-65,42214;False
120;10181;CDU;CONCEPCION DEL URUGUAY;-32,48753;-58,23155799999999;False
121;10187;LPZ;LA PAZ;-30,740605;-59,646533;False
122;10189;REZ;REZAGO;-34,607651000000004;-58,367373;False
123;10190;ZAP;ZAPALA;-38,906374;-70,067798;False
124;10192;PLZ;PLAZA 70;-37,322771;-59,135301;True
125;10193;AVA;AVELLANEDA;-34,66568;-58,389579000000005;False
126;10195;PTM;PUERTO MADRYN;-42,770539;-65,041174;False
127;10198;TOM;SANTO TOME;-37,322771;-59,135301;True
128;10199;SVS;VILLA SOLDATI (CTC);-34,667646999999995;-58,437636;False
129;10200;SVD;SUCURSAL VALIDACIONES;-37,322771;-59,135301;True
130;10201;BBR;BAHIA BLANCA(RN 3 Y SESQUICENT.);-38,707809000000005;-62,339532;False
131;10204;IHN;IN HOUSE NORLOG CLARO;-34,432013;-58,687812;False
132;10205;ETO;ESTACION ONCE;-34,608823;-58,406577;False
133;10206;EDO;ELDORADO;-26,414659000000004;-54,606421999999995;False
134;10218;PNQ;PLANTA NEUQUEN;-38,909647;-68,14649399999999;False
135;10221;PPD;PROCESAMIENTO PSD;-34,65406;-58,392419999999994;True
136;10222;INH;IN HOUSE NEWSAN;-34,734584000000005;-58,357347999999995;False
137;10223;FLR;PLANTA FLORIDA;-37,322771;-59,135301;True
138;10224;ARV;ARCHIVO BTB;-37,322771;-59,135301;True
139;10225;CCC;CORDOBA (AV COLON);-31,398151000000002;-64,234204;False
140;10227;OBR;OBERA;-37,322771;-59,135301;True
